trajectory,time,lon,lat
6,2025-09-07 11:50:00,135.02791,33.499638
6,2025-09-07 12:00:00,135.03262,33.49705
6,2025-09-07 12:10:00,135.03728,33.49684
6,2025-09-07 12:20:00,135.04166,33.497654
6,2025-09-07 12:30:00,135.04678,33.495968
6,2025-09-07 12:40:00,135.0512,33.494392
6,2025-09-07 12:50:00,135.05205,33.493793
6,2025-09-07 13:00:00,135.05598,33.493423
6,2025-09-07 13:10:00,135.05809,33.492584
6,2025-09-07 13:20:00,135.06189,33.491447
6,2025-09-07 13:30:00,135.06639,33.488796
6,2025-09-07 13:40:00,135.07059,33.486664
6,2025-09-07 13:50:00,135.07353,33.483513
6,2025-09-07 14:00:00,135.0776,33.48137
6,2025-09-07 14:10:00,135.08064,33.481197
6,2025-09-07 14:20:00,135.0829,33.482555
6,2025-09-07 14:30:00,135.08429,33.482315
6,2025-09-07 14:40:00,135.08565,33.480988
6,2025-09-07 14:50:00,135.08823,33.479847
6,2025-09-07 15:00:00,135.09079,33.479416
6,2025-09-07 15:10:00,135.09418,33.477825
6,2025-09-07 15:20:00,135.09589,33.47659
6,2025-09-07 15:30:00,135.09671,33.475903
6,2025-09-07 15:40:00,135.09673,33.475227
6,2025-09-07 15:50:00,135.098,33.473114
6,2025-09-07 16:00:00,135.10126,33.47077
6,2025-09-07 16:10:00,135.10173,33.47039
6,2025-09-07 16:20:00,135.10129,33.46828
6,2025-09-07 16:30:00,135.10219,33.46717
7,2025-09-07 10:30:00,135.0,33.5
7,2025-09-07 10:40:00,135.0035,33.498264
7,2025-09-07 10:50:00,135.00658,33.49835
7,2025-09-07 11:00:00,135.01111,33.49925
7,2025-09-07 11:10:00,135.01282,33.498905
7,2025-09-07 11:20:00,135.01471,33.50031
7,2025-09-07 11:30:00,135.02,33.498642
7,2025-09-07 11:40:00,135.02293,33.498997
7,2025-09-07 11:50:00,135.02689,33.49805
7,2025-09-07 12:00:00,135.03091,33.498905
7,2025-09-07 12:10:00,135.03427,33.498615
7,2025-09-07 12:20:00,135.03842,33.49806
7,2025-09-07 12:30:00,135.04167,33.49636
7,2025-09-07 12:40:00,135.04472,33.494167
7,2025-09-07 12:50:00,135.04791,33.495686
7,2025-09-07 13:00:00,135.04979,33.4941
7,2025-09-07 13:10:00,135.052,33.492413
7,2025-09-07 13:20:00,135.05609,33.49237
7,2025-09-07 13:30:00,135.05962,33.491043
7,2025-09-07 13:40:00,135.06343,33.490475
7,2025-09-07 13:50:00,135.06477,33.488705
7,2025-09-07 14:00:00,135.06787,33.486263
7,2025-09-07 14:10:00,135.07065,33.484962
7,2025-09-07 14:20:00,135.07268,33.484734
7,2025-09-07 14:30:00,135.07538,33.48387
7,2025-09-07 14:40:00,135.07758,33.48088
7,2025-09-07 14:50:00,135.07895,33.480457
7,2025-09-07 15:00:00,135.0819,33.48018
7,2025-09-07 15:10:00,135.08517,33.479034
7,2025-09-07 15:20:00,135.08879,33.47695
7,2025-09-07 15:30:00,135.08997,33.476215
7,2025-09-07 15:40:00,135.09195,33.47463
7,2025-09-07 15:50:00,135.09187,33.472385
7,2025-09-07 16:00:00,135.09288,33.471046
7,2025-09-07 16:10:00,135.09258,33.469406
7,2025-09-07 16:20:00,135.09549,33.467426
7,2025-09-07 16:30:00,135.09586,33.46535
8,2025-09-07 10:30:00,135.0,33.5
8,2025-09-07 10:40:00,135.00356,33.50001
